objectid,id,island,volcano,line_code,description,relation,name,source,st_lengthshape
1197,1197,Kahoolawe,khoo,22,Normal fault approximately located,,,"Stearns, 1940c",140.7497707656
1198,1198,Kahoolawe,khoo,22,Normal fault approximately located,,,"Stearns, 1940c",116.81001816144
1199,1199,Kahoolawe,khoo,22,Normal fault approximately located,,,"Stearns, 1940c",62.6090159446828
1200,1200,Kahoolawe,khoo,22,Normal fault approximately located,,,"Stearns, 1940c",99.0627897891068
1201,1201,Kahoolawe,khoo,22,Normal fault approximately located,,,"Stearns, 1940c",136.059401258792
1202,1202,Kahoolawe,khoo,25,Normal fault flooded,,,"Stearns, 1940c",569.730484288559
1203,1203,Kahoolawe,khoo,25,Normal fault flooded,,,"Stearns, 1940c",266.977657972606
1204,1204,Kahoolawe,khoo,25,Normal fault flooded,,,"Stearns, 1940c",440.302227509253
1205,1205,Kahoolawe,khoo,25,Normal fault flooded,,,"Stearns, 1940c",1185.648398499
1206,1206,Kahoolawe,khoo,22,Normal fault approximately located,,,"Stearns, 1940c",55.2164487454688
1207,1207,Kahoolawe,khoo,22,Normal fault approximately located,,,"Stearns, 1940c",57.9968582706202
1208,1208,Kahoolawe,khoo,25,Normal fault flooded,,,"Stearns, 1940c",341.998759600319
1209,1209,Kahoolawe,khoo,22,Normal fault approximately located,,,"Stearns, 1940c",32.4649884784755
1210,1210,Kahoolawe,khoo,24,Normal fault concealed,Yes,Kahoolawe,"Stearns, 1940c",7996.37122461367
1211,1211,Kahoolawe,khoo,22,Normal fault approximately located,Yes,Kahoolawe,"Stearns, 1940c",578.215750086416
1212,1212,Kahoolawe,khoo,22,Normal fault approximately located,Yes,Kahoolawe,"Stearns, 1940c",201.20445931388
1213,1213,Kahoolawe,khoo,22,Normal fault approximately located,,,"Stearns, 1940c",81.4429724377954
1214,1214,Kahoolawe,khoo,22,Normal fault approximately located,,,"Stearns, 1940c",175.709753278728
1215,1215,Kahoolawe,khoo,25,Normal fault flooded,,,"Stearns, 1940c",845.488649731288
1216,1216,Kahoolawe,khoo,25,Normal fault flooded,Yes,Kahoolawe,"Stearns, 1940c",4475.32397500727
1217,1217,Kahoolawe,khoo,22,Normal fault approximately located,Yes,Kahoolawe,"Stearns, 1940c",783.067594380077
1218,1218,Kauai,kaua,21,Normal fault well-located,,,"Macdonald and others, 1960",263.655727603536
1219,1219,Kauai,kaua,21,Normal fault well-located,,,"Macdonald and others, 1960",88.3842880029288
1220,1220,Kauai,kaua,21,Normal fault well-located,,,"Macdonald and others, 1960",3885.43681418053
1221,1221,Kauai,kaua,22,Normal fault approximately located,Yes,Olokele,"Macdonald and others, 1960",885.495999665422
1222,1222,Kauai,kaua,21,Normal fault well-located,Yes,Olokele,"Macdonald and others, 1960",848.141010786029
1223,1223,Kauai,kaua,22,Normal fault approximately located,Yes,Olokele,"Macdonald and others, 1960",470.272747073106
1224,1224,Kauai,kaua,21,Normal fault well-located,Yes,Olokele,"Macdonald and others, 1960",4076.07669418218
1225,1225,Kauai,kaua,22,Normal fault approximately located,Yes,Olokele,"Macdonald and others, 1960",2142.00913592711
1226,1226,Kauai,kaua,21,Normal fault well-located,Yes,Olokele,"Macdonald and others, 1960",859.274118492486
1227,1227,Kauai,kaua,21,Normal fault well-located,Yes,Olokele,"Macdonald and others, 1960",1371.05017668697
1228,1228,Kauai,kaua,21,Normal fault well-located,Yes,Olokele,"Macdonald and others, 1960",1065.35238827421
1229,1229,Kauai,kaua,21,Normal fault well-located,Yes,Olokele,"Macdonald and others, 1960",114.287993460266
1230,1230,Kauai,kaua,21,Normal fault well-located,Yes,Olokele,"Macdonald and others, 1960",200.475961554763
1231,1231,Kauai,kaua,21,Normal fault well-located,Yes,Olokele,"Macdonald and others, 1960",1628.36006026218
1232,1232,Kauai,kaua,26,Normal fault queried,,,"Macdonald and others, 1960",1734.45360951163
1233,1233,Kauai,kaua,26,Normal fault queried,,,"Macdonald and others, 1960",703.890695116747
1234,1234,Kauai,kaua,22,Normal fault approximately located,,,"Macdonald and others, 1960",4156.1152500134
1235,1235,Kauai,kaua,22,Normal fault approximately located,,,"Macdonald and others, 1960",392.438159118404
1236,1236,Kauai,kaua,22,Normal fault approximately located,Yes,Olokele,"Macdonald and others, 1960",2264.57861489767
1237,1237,Kauai,kaua,22,Normal fault approximately located,Yes,Olokele,"Macdonald and others, 1960",6687.61825981556
1238,1238,Kauai,kaua,22,Normal fault approximately located,Yes,Olokele,"Macdonald and others, 1960",21342.4363487753
1239,1239,Kauai,kaua,21,Normal fault well-located,Yes,Olokele,"Macdonald and others, 1960",1227.57140785616
1240,1240,Kauai,kaua,21,Normal fault well-located,,,"Macdonald and others, 1960",1689.79651139932
1241,1241,Kauai,kaua,21,Normal fault well-located,,,"Macdonald and others, 1960",733.325598270607
1242,1242,Kauai,kaua,21,Normal fault well-located,,,"Macdonald and others, 1960",3119.01041815773
1243,1243,Kauai,kaua,21,Normal fault well-located,,,"Macdonald and others, 1960",1422.44912577002
1244,1244,Kauai,kaua,21,Normal fault well-located,,,"Macdonald and others, 1960",1764.74892532376
1245,1245,Kauai,kaua,21,Normal fault well-located,,,"Macdonald and others, 1960",684.72820285183
1246,1246,Kauai,kaua,21,Normal fault well-located,,,"Macdonald and others, 1960",806.636263607334
1247,1247,Kauai,kaua,22,Normal fault approximately located,,,"Macdonald and others, 1960",507.200489190266
