_id,COUNTY,UNIQUE_ID,LOCATION,DECIBEL,Location 1
225,HONOLULU,OA225,Mililani Rec Center 4,115,"(21.432, -158.018)"
226,HONOLULU,OA116,Woodlawn/Upper Manoa,126,"(21.316, -157.803)"
227,KAUAI,KA601,Kaumakani,124,"(21.918, -159.619)"
228,MAUI,MA106,Sprecklesville,121,"(20.911, -156.403)"
229,HONOLULU,OA104A,Kuliouou Park,119,"(21.295, -157.724)"
230,MAUI,MA128,Upper Paia,115,"(20.901, -156.37)"
231,HAWAII,HA801,"Naalehu, Kau",115,"(19.061, -155.58)"
232,HAWAII,HA911,Hawaiian Beaches #2,115,"(19.56, -154.888)"
233,HONOLULU,OA325,Makaha Beach Pk,121,"(21.478, -158.222)"
234,HAWAII,HA302,Honokaa,115,"(20.076, -155.463)"
235,HONOLULU,OA314,Campbell Ind Pk,121,"(21.308, -158.1)"
236,MAUI,MA133,Papohaku Park,115,"(20.899, -156.491)"
237,KAUAI,KA309,Vidinha Stadium,124,"(21.971, -159.355)"
238,HONOLULU,OA419,Kalae Oio Beach Park,124,"(21.544, -157.845)"
239,HONOLULU,OA303,Aiea Heights,126,"(21.394, -157.909)"
240,HONOLULU,OA406,Kailua Beach Park,121,"(21.396, -157.726)"
241,HAWAII,HA803,"Punaluu, Kau",115,"(19.136, -155.505)"
242,HAWAII,HA915,Leilani Estates,115,"(19.465, -154.914)"
243,HONOLULU,OA108,DOE Nursery,115,"(21.268, -157.794)"
244,MAUI,MA502,"Kaunakakai, Mol",115,"(21.087, -157.017)"
245,MAUI,MA507,"Pukoo, Mol",115,"(21.083, -156.782)"
246,HONOLULU,OA422A,Punaluu,121,"(21.569, -157.875)"
247,HAWAII,HA202,Laupahoehoe Pt,121,"(19.992, -155.241)"
248,MAUI,MA110,Old Kihei School,115,"(20.779, -156.46)"
249,HONOLULU,OA432,Turtle Bay,121,"(21.697, -157.986)"
250,HAWAII,HA601,Kailua,121,"(19.642, -155.996)"
251,HONOLULU,OA427,Kahuku High School,121,"(21.676, -157.947)"
252,MAUI,MA138,Mai Poina Oe lau,121,"(20.771, -156.459)"
253,HAWAII,HA113,Hakalau,115,"(19.893, -155.125)"
254,KAUAI,KA103,Wainiha,115,"(22.21, -159.543)"
255,MAUI,MA413,Puukolii Rd-MA413 Dev.,115,"(20.936, -156.689)"
256,HONOLULU,OA409,Aikahi Park,126,"(21.426, -157.751)"
257,MAUI,MA126,"Upper Kula, Copp Rd.",121,"(20.755, -156.328)"
258,HAWAII,HA702,Capt. Cook,118,"(19.492, -155.914)"
259,HONOLULU,OA214,Leileihua HS,121,"(21.498, -158.01)"
260,HONOLULU,OA137,Moanalua Valley,124,"(21.374, -157.88)"
261,KAUAI,KA501,Koloa Town,115,"(21.905, -159.463)"
262,KAUAI,KA209,Waipoli-State Open Area,115,"(22.07, -159.318)"
263,HONOLULU,OA110,Palolo Valley District Pk,121,"(21.299, -157.796)"
264,HONOLULU,OA123,Nuuanu Valley,124,"(21.342, -157.832)"
265,KAUAI,KA510,Kiahuna,115,"(21.881, -159.457)"
266,HONOLULU,OA412,Heeia Playground,115,"(21.418, -157.809)"
267,HAWAII,HA610,Honokohau Harbor,121,"(19.668, -156.022)"
268,HONOLULU,OA402,Waimanalo District Park,124,"(21.342, -157.714)"
269,HAWAII,HA406,Puako #2,121,"(19.964, -155.854)"
270,HONOLULU,OA228,Mililani Mauka BWS-865,121,"(21.471, -157.989)"
271,MAUI,MA302,Keanae,115,"(20.857, -156.145)"
272,MAUI,MA601,"Kalaupapa, Mol",121,"(21.195, -156.98)"
273,HAWAII,HA901,Mountain View,115,"(19.552, -155.105)"
274,KAUAI,KA701,Waimea Beach Park,119,"(21.952, -159.665)"
275,MAUI,MA409,Kaanapali #2,126,"(20.917, -156.689)"
276,MAUI,MA122,Wailea #2,115,"(20.681, -156.441)"
277,HAWAII,HA403,Spencer Park,115,"(20.024, -155.822)"
278,HAWAII,HA110,Pepeekeo,119,"(19.834, -155.107)"
279,KAUAI,KA107,Anini N,115,"(22.224, -159.459)"
280,HONOLULU,OA320,Waianae Shopping Mall,126,"(21.437, -158.184)"
281,MAUI,MA102,Waiehu Beach Road,119,"(20.914, -156.494)"
282,HAWAII,HA904,Kapoho Beach Lots #1,124,"(19.499, -154.823)"
283,HONOLULU,OA203A,Pupukea,124,"(21.645, -158.046)"
284,HONOLULU,OA212,Camp Erdman #1,115,"(21.577, -158.224)"
285,HONOLULU,OA114,Ala Wai Regional Park,126,"(21.289, -157.832)"
286,HONOLULU,OA309A,Waipio Neighborhood Park,115,"(21.417, -157.999)"
287,KAUAI,KA202,Aliomanu,115,"(22.155, -159.306)"
288,HONOLULU,OA119,Kewalo Basin,126,"(21.294, -157.857)"
289,HONOLULU,OA318,Maili Point,110,"(21.404, -158.176)"
290,MAUI,MA134,Kulamalu,115,"(20.823, -156.329)"
291,HONOLULU,OA331A,Nimitz Beach,121,"(21.299, -158.073)"
292,HONOLULU,OA409A,Mokapu Saddle Rd,115,"(21.41, -157.771)"
293,HAWAII,HA606,Keauhou Bay,115,"(19.566, -155.958)"
294,MAUI,MA406,Napili,115,"(20.992, -156.666)"
295,HONOLULU,OA302,Aiea HS,126,"(21.384, -157.931)"
296,MAUI,MA129,Kalepolepo Pk.,115,"(20.764, -156.458)"
297,HAWAII,HA503,Kamehameha Park,124,"(20.232, -155.8)"
298,HAWAII,HA804,Pahala,115,"(19.202, -155.477)"
299,HONOLULU,OA102A,Kamiloiki Pk,115,"(21.306, -157.683)"
300,MAUI,MA508,"Maunaloa, Mol",115,"(21.133, -157.21)"
301,HAWAII,HA303,Waipio Valley,121,"(20.117, -155.583)"
302,HONOLULU,OA310,Waipahu SC,121,"(21.38, -158.019)"
303,HONOLULU,OA402A,Waimanalo,121,"(21.342, -157.739)"
304,HONOLULU,OA117,Round Top,126,"(21.31, -157.824)"
305,HONOLULU,OA418,Kualoa,110,"(21.526, -157.834)"
306,KAUAI,KA513,Kalaheo,115,"(21.924, -159.527)"
307,HONOLULU,OA206A,Haleiwa Beach Park,124,"(21.6, -158.103)"
308,HONOLULU,OA208A,Puuiki Rd,115,"(21.581, -158.133)"
309,HAWAII,HA106,South Hilo Baseyard,119,"(19.707, -155.062)"
310,HONOLULU,OA324,Makaha Valley,115,"(21.475, -158.196)"
311,MAUI,MA109,Maalaea,118,"(20.792, -156.511)"
312,MAUI,MA119,"Pukalani, Kula",119,"(20.839, -156.341)"
313,HONOLULU,OA307,Palisades Elem Sch,115,"(21.425, -157.952)"
314,KAUAI,KA113,Kilauea Park,115,"(22.211, -159.405)"
315,HONOLULU,OA105,Niu Valley Shopping Ctr,121,"(21.281, -157.736)"
316,KAUAI,KA307,Lihue,115,"(21.975, -159.365)"
317,HONOLULU,OA314A,Barbers Pt Deep Draft Harbor,121,"(21.323, -158.11)"
318,HONOLULU,OA423,Hauula South,115,"(21.603, -157.899)"
319,MAUI,MA114,"Keawekapu, Kihei",115,"(20.7, -156.444)"
320,HAWAII,HA706,Milolii,115,"(19.182, -155.907)"
321,HAWAII,HA201,Laupahoehoe Lookout,124,"(19.985, -155.237)"
322,MAUI,MA401,Olowalu,121,"(20.811, -156.622)"
323,HONOLULU,OA108A,Ft Ruger,115,"(21.259, -157.796)"
324,HAWAII,HA916,Kehana,119,"(19.396, -154.926)"
325,HAWAII,HA910,Ainaloa,124,"(19.543, -154.975)"
326,MAUI,MA503,"Kamiloloa, Mol",115,"(21.078, -156.993)"
327,HONOLULU,OA311B,Coral Creek,121,"(21.329, -158.033)"
328,KAUAI,KA213,Wailua Homestead Pk,124,"(22.058, -159.368)"
329,KAUAI,KA520,Hanapepe Heights,121,"(21.92, -159.589)"
330,HONOLULU,OA218,Kunia El Sch,110,"(21.461, -158.064)"
331,HONOLULU,OA132,Honolulu International Airport Aolewa Pl,115,"(21.333, -157.913)"
332,HONOLULU,OA415,Laenani Beach Park,115,"(21.459, -157.832)"
333,HONOLULU,OA428,Kawela Bay,121,"(21.695, -158.007)"
334,MAUI,MA105,Naska,124,"(20.89, -156.445)"
335,KAUAI,KA203,Kealia,115,"(22.101, -159.304)"
336,HONOLULU,OA405,Lanikai/Aala Dr/Mokulua,118,"(21.388, -157.713)"
337,HONOLULU,OA120,McKinley HS,119,"(21.297, -157.85)"
338,HONOLULU,OA127,Honolulu Comm. College,115,"(21.32, -157.868)"
339,HONOLULU,OA201,Sunset Beach,121,"(21.674, -158.04)"
340,KAUAI,KA503,Poipu Kai,115,"(21.872, -159.447)"
